"custAge","profession","marital","schooling","default","housing","loan","contact","month","day_of_week","campaign","pdays","previous","poutcome","emp.var.rate","cons.price.idx","cons.conf.idx","euribor3m","nr.employed","pmonths","pastEmail","responded","profit","id"
49,"self-employed","married","basic.9y","no","yes","no","telephone","may","thu",2,999,0,"nonexistent",1.1,93.994,-36.4,4.86,5191,999,0,"no",NA,1
NA,"housemaid","married","professional.course","no","no","no","cellular","jul","tue",2,999,0,"nonexistent",1.4,93.918,-42.7,4.961,5228.1,999,0,"no",NA,2
45,"management","divorced","university.degree","no","no","no","cellular","apr","tue",2,999,0,"nonexistent",-1.8,93.075,-47.1,1.453,5099.1,999,0,"no",NA,3
44,"blue-collar","married","basic.4y","unknown","no","no","telephone","may","thu",1,999,0,"nonexistent",1.1,93.994,-36.4,4.855,5191,999,0,"no",NA,4
38,"blue-collar","married",NA,"no","no","no","cellular","nov","mon",1,999,0,"nonexistent",-0.1,93.2,-42,4.191,5195.8,999,0,"no",NA,5
43,"technician","single","university.degree","no","yes","no","telephone","jun","mon",4,999,0,"nonexistent",1.4,94.465,-41.8,4.865,5228.1,999,0,"no",NA,6
39,"admin.","married",NA,"unknown","yes","no","telephone","may","tue",5,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,999,0,"no",NA,7
53,"entrepreneur","married","university.degree","no","yes","no","cellular","aug","fri",2,999,0,"nonexistent",1.4,93.444,-36.1,4.966,5228.1,999,0,"no",NA,8
44,"management","married",NA,"no","no","no","cellular","apr","mon",2,999,0,"nonexistent",-1.8,93.075,-47.1,1.405,5099.1,999,0,"no",NA,9
33,"blue-collar","married","basic.9y","unknown","yes","no","telephone","may","tue",2,999,1,"failure",-1.8,92.893,-46.2,1.344,5099.1,999,4,"no",NA,10
34,"technician","married","university.degree","no","yes","no","cellular","aug","fri",3,999,0,"nonexistent",-2.9,92.201,-31.4,0.825,5076.2,999,0,"no",NA,11
75,"retired","married",NA,"no","no","no","cellular","mar","mon",2,999,1,"failure",-1.8,93.369,-34.8,0.639,5008.7,999,0,"yes",170,12
33,"admin.","married","basic.9y","no","yes","yes","cellular","jul","mon",3,999,0,"nonexistent",1.4,93.918,-42.7,4.96,5228.1,999,0,"no",NA,13
33,"admin.","married",NA,"no","no","no","telephone","may","fri",2,999,0,"nonexistent",1.1,93.994,-36.4,4.859,5191,999,0,"no",NA,14
28,"admin.","married","university.degree","no","yes","no","telephone","may","fri",3,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,999,0,"no",NA,15
29,"blue-collar","single","professional.course","no","yes","no","telephone","may","mon",7,999,0,"nonexistent",1.1,93.994,-36.4,4.858,5191,999,0,"no",NA,16
32,"admin.","divorced",NA,"no","yes","no","cellular","aug","tue",3,999,0,"nonexistent",1.4,93.444,-36.1,4.963,5228.1,999,0,"no",NA,17
NA,"admin.","single","high.school","no","no","no","telephone","jun","fri",1,999,0,"nonexistent",1.4,94.465,-41.8,4.967,5228.1,999,0,"no",NA,18
27,"admin.","single",NA,"no","no","no","cellular","sep","wed",1,999,0,"nonexistent",-3.4,92.379,-29.8,0.781,5017.5,999,0,"yes",202,19
35,"services","single",NA,"no","yes","no","cellular","jul","fri",1,999,0,"nonexistent",1.4,93.918,-42.7,4.963,5228.1,999,0,"no",NA,20
42,"housemaid","married","university.degree","no","unknown","unknown","telephone","aug",NA,9,999,0,"nonexistent",1.4,93.444,-36.1,4.962,5228.1,999,0,"no",NA,21
39,"management","married","basic.6y","unknown","no","no","telephone","jun","mon",5,999,0,"nonexistent",1.4,94.465,-41.8,4.865,5228.1,999,0,"no",NA,22
34,"self-employed","single","university.degree","no","yes","no","cellular","may","tue",1,999,0,"nonexistent",-1.8,92.893,-46.2,1.291,5099.1,999,0,"no",NA,23
58,"retired","married","basic.4y","no","no","no","cellular","aug","wed",4,999,0,"nonexistent",1.4,93.444,-36.1,4.965,5228.1,999,0,"no",NA,24
44,"self-employed","married","university.degree","no","yes","no","cellular","may","fri",1,999,1,"failure",-1.8,92.893,-46.2,1.25,5099.1,999,2,"no",NA,25
NA,"admin.","single","university.degree","no","no","no","cellular","jun","tue",1,999,0,"nonexistent",-2.9,92.963,-40.8,1.252,5076.2,999,0,"no",NA,26
60,"blue-collar","married","basic.4y","unknown","yes","no","cellular","aug","wed",1,999,0,"nonexistent",1.4,93.444,-36.1,4.967,5228.1,999,0,"no",NA,27
NA,"unemployed","married",NA,"no","yes","no","telephone","may","thu",1,999,0,"nonexistent",1.1,93.994,-36.4,4.86,5191,999,0,"no",NA,28
NA,"blue-collar","divorced",NA,"no","no","yes","cellular","jul","fri",2,999,0,"nonexistent",1.4,93.918,-42.7,4.963,5228.1,999,0,"no",NA,29
37,"blue-collar","divorced",NA,"unknown","no","no","telephone","jun","wed",2,999,0,"nonexistent",1.4,94.465,-41.8,4.959,5228.1,999,0,"no",NA,30
42,"admin.","married","professional.course","no","yes","yes","cellular","may",NA,2,999,0,"nonexistent",-1.8,92.893,-46.2,1.354,5099.1,999,0,"no",NA,31
NA,"admin.","single",NA,"no","yes","no","telephone","may","thu",2,999,0,"nonexistent",1.1,93.994,-36.4,4.86,5191,999,0,"no",NA,32
31,"services","married","high.school","no","no","no","cellular","jul","mon",4,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,999,0,"no",NA,33
33,"admin.","single","university.degree","no","yes","no","telephone","jun","wed",1,999,0,"nonexistent",1.4,94.465,-41.8,4.959,5228.1,999,0,"no",NA,34
57,"management","divorced","unknown","no","no","no","cellular","apr","wed",2,999,0,"nonexistent",-1.8,93.075,-47.1,1.405,5099.1,999,0,"yes",214,35
51,"blue-collar","married",NA,"no","yes","yes","telephone","may","wed",2,999,0,"nonexistent",1.1,93.994,-36.4,4.858,5191,999,0,"no",NA,36
NA,"blue-collar","married","basic.9y","unknown","yes","no","cellular","apr","thu",1,999,0,"nonexistent",-1.8,93.075,-47.1,1.483,5099.1,999,0,"no",NA,37
31,"technician","married","university.degree","no","yes","yes","cellular","aug","wed",2,999,0,"nonexistent",1.4,93.444,-36.1,4.964,5228.1,999,0,"no",NA,38
NA,"technician","married",NA,"no","yes","no","telephone","may","fri",1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,999,0,"no",NA,39
NA,"admin.","single","high.school","no","yes","no","cellular","jul","tue",3,6,1,"success",-1.7,94.215,-40.3,0.835,4991.6,0.2,0,"yes",156,40
NA,"technician","divorced","professional.course","no","yes","no","telephone","jun","wed",3,999,0,"nonexistent",1.4,94.465,-41.8,4.962,5228.1,999,0,"no",NA,41
31,"student","single","university.degree","no","no","no","cellular","oct","wed",1,999,0,"nonexistent",-1.1,94.601,-49.5,1.043,4963.6,999,0,"yes",181,42
35,"admin.","divorced","university.degree","no","yes","no","telephone","jun","thu",1,999,0,"nonexistent",1.4,94.465,-41.8,4.961,5228.1,999,0,"no",NA,43
NA,"blue-collar","married",NA,"no","yes","no","cellular","apr","wed",1,999,0,"nonexistent",-1.8,93.075,-47.1,1.405,5099.1,999,0,"yes",84,44
29,"admin.","married","university.degree","no","no","no","cellular","jul","wed",5,999,0,"nonexistent",1.4,93.918,-42.7,4.957,5228.1,999,0,"no",NA,45
